0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
429.94192863705126,439.91061608014894,449.74797809743575,459.3036798310753,468.44206555314213,477.0903602104263,485.23882267545787,493.12326411182346,500.7903435849998,508.2812854290239,515.4724562687983,522.2594479167043,528.9402168038017,535.1704820434423,540.9083358922151,545.8157098974011,547.5867570979667,552.1808424131359,556.38333123067,560.2944241261777,563.8502482844066
439.91061920422374,449.80763637272963,459.6445393723012,469.19898922478797,478.33498269733724,486.97962840796094,495.12327205350584,502.7903515110141,510.2812932458109,517.472464060111,524.2594543196442,530.9402231874355,537.1704884106164,542.9083402283671,547.8157123803061,552.0076705419216,554.1808467199627,558.3833336981631,562.2944265902627,565.8502507482356,569.1235846729829
449.80764527255513,459.6445476172902,469.2098350617551,478.75915801914186,487.8853258630842,496.51491766161234,504.6385960256199,512.2813046809466,519.4724754583315,526.2594645953908,532.9402334380554,539.1704986449705,544.9083481022113,549.8157174875889,554.0076733620975,557.5815555691806,560.3833387970124,564.2944316920854,567.8502558621223,571.1235898150537,574.1613319259288
459.3748240946222,469.2098455461605,478.7591686237523,487.8853372523448,496.8677044250031,505.46416669192513,513.5436848629166,521.1322959428179,528.2594760011992,534.940244825637,541.1705100253973,546.9083581025722,551.8157251140533,556.0076782975037,559.5815582931837,562.5893635741816,566.2944393747654,569.8502635859941,573.1235976066583,576.1613398182476,578.973989690624
468.39407056456315,478.2249767930391,487.763082637984,496.8677143950501,505.46417698431657,513.7281920925288,521.736962934885,529.2385502405025,536.2627180727484,542.8221380730038,548.9083682320438,553.8157342600024,558.0076854225152,561.581562968721,564.5893661770434,568.2944486845968,571.8502729819365,575.1236071160325,578.1613494691742,580.9739995069866,583.5315256340731
476.76988149183745,486.59417630045294,496.11434691419043,505.1846251619475,513.7282009234523,521.7369718490448,529.2487346864475,536.6339922361383,543.5203466135576,549.9183088757691,555.8157434807512,560.0076940241235,563.5815697852519,566.5893706895274,570.2944581473245,573.8502825487229,577.1236168084704,580.1613593094313,582.9740095144635,585.5315358200262,587.8107739120728
484.5941852050186,494.34151053022936,503.8373603349983,512.8614740100865,521.3343803939939,529.2487428434741,536.6340004061083,543.5203547869295,550.1291291760629,556.3333321256678,562.0077027934997,565.5815780918674,568.5893773149046,571.7883545459201,575.4492508501845,578.7845977535035,581.8680601889054,584.7391045242761,587.3986230769309,589.8107837507197,591.9120847858788
492.3415187094024,501.83736728038826,511.0118873236344,519.9787211788176,528.3650453253566,536.1647199501465,543.4092031001496,550.1291370080745,556.3333399778123,562.15757247718,567.5815866140607,570.5893854217794,573.0467053479048,576.5304407245312,579.9405949760937,583.0560090900626,585.9472944909745,588.645077794884,591.1413430796068,593.3958937689804,595.3474815123902
499.837373438333,509.01189399314995,517.9787274887758,526.6176145537595,534.9008991188064,542.5659160271888,549.6467626887458,556.1747120296667,562.1575801300157,567.5815943106522,572.5893937569354,575.0467132836866,577.1503089266964,580.6788846038565,583.8431777437053,586.7432793183783,589.4432215094776,591.963866460139,594.2890234021168,596.3752423316612,598.1646011977501
507.0118999357852,515.9787327272534,524.6176206958722,532.9009053268402,540.9990941943934,548.5062814655478,555.3978040173259,561.7065452277669,567.4406504738232,572.5894013001052,577.0467214546134,578.9581192491694,581.001568292021,584.2574583823491,587.1816302573194,589.8711609896758,592.380945074377,594.7216515693059,596.8695390871693,598.7786828244122,600.3953394316788
513.9787365700201,522.6176258032817,530.9009101959792,538.9991002626956,546.6908349191687,554.0121749395295,560.6834609759775,566.7415422050838,572.1974560509193,577.0467288629878,580.9581272724237,581.0015758739903,584.2944604028071,587.2809806387718,589.9695251461306,592.4513407819697,594.7713270475882,596.9304799258902,598.8984628751836,600.6277242678801,602.0693124253148
520.6176295560327,528.9009136513142,536.9991050273916,544.6908408593537,552.0121809652628,559.0883789630598,565.5050658551917,571.2791635347259,576.4285311567126,580.958134552369,580.8915884019552,584.2944678746188,587.2809882350471,589.9695328871487,592.4513486878403,594.7713351373772,596.9304882157822,598.8984713751295,600.6277329766726,602.0693213255751,599.2539723514595
526.9009157375685,534.999108408924,542.6908455244742,550.0121856304434,557.0883848718162,563.5050718135487,569.279169535192,574.4285372095494,578.9581406727826,580.3452425158159,583.2637171266409,585.2809946614683,587.9695394455001,590.4513553942319,592.7713420072067,594.9304952623211,596.8984786073571,598.627740395881,600.0693289209073,599.2539811866933,600.0650443441572
532.9991104516051,540.690848836968,548.0121888503216,555.0883894477491,561.5050764301864,567.2791741952356,572.4285419206533,576.958145446387,579.3802303355582,583.2637241919925,585.7991364414515,586.0417726169802,588.4513606558676,590.7713474017671,592.930500800203,594.8984842972487,596.6277462421125,598.069334918933,598.9247860980594,600.065053162839,600.6445397514905
538.6908508446295,546.0121907709818,553.0883926169012,559.5050796064859,565.2791774022537,570.4285451665165,574.9581487393192,578.0044868708541,582.2027709865018,585.7991434349943,588.0417801836139,588.0609133047013,589.6324939023966,591.6320785586915,593.4904332575818,595.2396914908994,596.8689335958929,598.3414812942599,599.6123468431275,600.6445485490393,601.1173304047511
543.9843034989589,551.0883945143255,557.5050814839167,563.2791792903674,568.4285470750606,572.9581506739066,576.1868242849325,580.7493832494047,584.689054129323,588.0417870894426,590.0609207747189,589.8907672300272,591.192366561674,592.9786997984789,594.6375554993516,596.2052442286097,597.6738695091478,599.0093251493846,600.1690349385901,601.117339141769,601.5615758039168
544.8687445024974,551.7259332535316,557.9117916053772,563.7396039304715,569.1702559610151,574.1868298708694,578.8448441958811,583.1807652165362,586.9082937789776,590.0609275582867,591.8907745659801,591.5299725441245,592.6210638946193,594.2129415472465,595.6875469082466,597.087110662365,598.4082541703608,599.6203428208199,600.6832024240838,601.5615844560109,602.0044834445565
549.3213937668245,555.9117934314463,561.7396057399758,567.1702589894264,572.1868342134277,576.8448497002878,581.2031076615654,585.3520123508612,588.9048964132977,591.8907812485471,593.529979769509,592.9503919174366,593.9417130351135,595.3625145377954,596.6739615071651,597.9237371107058,599.1128552951121,600.2141376509918,601.189674623671,602.0044919796695,602.4377153553222
553.3204177309835,559.6415227230567,565.1702607703188,570.1868371941785,574.8448539743574,579.2031130783789,583.3520178242715,587.2877105427178,590.6897197958662,593.5299863405958,594.9503990211686,594.1138709393731,595.1387889056593,596.4138655102827,597.5864654642286,598.7079161788865,599.7825090977043,600.7859725135227,601.6825037397213,602.4377237382439,602.8368715463864
556.8619874297027,562.930764395089,568.1868389447803,572.8448569042234,577.2031172789567,581.3520220759658,585.2877159257686,588.9746000901791,592.241032258144,594.9504054802175,596.1138779211561,594.9948524483492,596.1778736352488,597.3331419493451,598.3924482130817,599.4086804069178,600.3880230517058,601.3083655940492,602.1357939286181,602.8368797476381,603.1763482528715
559.9756550448744,565.8222854036957,570.8448586603066,575.2031203655389,579.3520252087637,583.2877209797932,586.9746081333625,590.372499800028,593.5192177742045,596.1138910455975,596.9948729795749,595.7671111608652,597.0246667624983,598.0860826570041,599.0576529768407,599.9922217731954,600.896715361042,601.750463935038,602.521124322037,603.1763644189801,603.4390613689986
